貨號,名稱,架位,庫存
9786263537026,#告白（十五週年紀念新版）,5AR6C,6
2200001408845,(100枝出)YAMAHA YRS24B 牧童笛(B指法),5BA8D,61
9780141365435,(2016 ed.) The Giraffe and the Pelly and,5AQ4D,15
9780141365473,(2016 ed.) The Witches,5AQ4D,2
9780141365572,(2017 ed.)The Wonderful Story of Henry S,5AQ2B,1
9780241558324,(2022 ed.)Charlie and the Chocolate Fact,5AQ3D,7
9780241568651,(2022 ed.)Esio Trot,5AQ4D,2
9780241558355,(2022 ed.)Fantastic Mr Fox,5AQ2C,0
9780241558485,(2022 ed.)George's Marvellous Medicine,5AQ4D,3
9780241558317,(2022 ed.)Matilda,5AQ5D,7
9780241568675,(2022 ed.)The Magic Finger,5AQ4D,1
9780241578186,(2022 ed.)The Twits,5AQ2B,1
9780241578179,(2022 ed.)The Witches,5AQ5D,1
9780241578179,(2022 ed.)The Witches,5BQ7C,180
9780241568743,(2023 ed.)Revolting Rhymes,5AQ2B,3
9789888888207,(2025)(Set A)Bk5 P1&2 Dev Skills for HKD,5AT3D,16
9789888888207,(2025)(Set A)Bk5 P1&2 Dev Skills for HKD,5AT3F,9
9789888888221,(2025)(Set A)Bk5 P3 Dev Skills for HKDSE,5AT1D,18
9789888888245,(2025)(Set A)Bk5 P4 Dev Skills for HKDSE,5AT3C,11
9789888888245,(2025)(Set A)Bk5 P4 Dev Skills for HKDSE,5AT2E,10
9789888888214,(2025)(Set B)Bk5 P1&2 Dev Skills for HKD,5AT3D,6
9789888888214,(2025)(Set B)Bk5 P1&2 Dev Skills for HKD,5AT2F,6
9789888888214,(2025)(Set B)Bk5 P1&2 Dev Skills for HKD,5AT3F,27
9789888888214,(2025)(Set B)Bk5 P1&2 Dev Skills for HKD,5AT3E,7
9789888888214,(2025)(Set B)Bk5 P1&2 Dev Skills for HKD,5AT3B,8
9789888888238,(2025)(Set B)Bk5 P3 Dev Skills for HKDSE,5AT2F,2
9789888888238,(2025)(Set B)Bk5 P3 Dev Skills for HKDSE,5AT3F,10
9789888888238,(2025)(Set B)Bk5 P3 Dev Skills for HKDSE,5AT2E,8
9789888888511,(2026 Ed.) 1 Interactive Geography Map R,5BU8D,0
9789888888511,(2026 Ed.) 1 Interactive Geography Map R,5BU7D,100
9789626085196,(Abridged) 1A New World History Express,5BG1C,1
9789626085219,(Abridged) 2A New World History Express,5BG1C,6
9789626085226,(Abridged) 2B New World History Express,5BG1C,9
9789626085233,(Abridged) 3A New World History Express,5BG1C,11
9789626085240,(Abridged) 3B New World History Express,5BG1C,11
9789626085271,(Abridged) WB 2A New World History Expre,5BG1C,9
9789626085288,(Abridged) WB 2B New World History Expre,5BG1C,10
9789626085295,(Abridged) WB 3A New World History Expre,5BG1C,11
9789626085301,(Abridged) WB 3A New World History Expre,5BG1C,4
